FirstName,LastName,MiddleName,Title,EmailAddress,Phone,DepartmentName,AvatarUrl
Kieth,Moreno,,Regional Manager,KiethMoreno@contoso.com,320-555-0195,Production,/images/contoso/EmployeePhotos/Employee1.jpg
Denis,Rivers,,Regional Manager,DenisRivers@contoso.com,150-555-0189,Marketing,/images/contoso/EmployeePhotos/Employee2.jpg
Henry,Vane,,Regional Manager,HenryVane@contoso.com,212-555-0187,Engineering,/images/contoso/EmployeePhotos/Employee3.jpg
Nathan,Wade,J.,Regional Manager,NathanWade@contoso.com,612-555-0100,Tool Design,/images/contoso/EmployeePhotos/Employee4.jpg
Javier,Reid,,Regional Manager,JavierReid@contoso.com,612-555-0100,Tool Design,/images/contoso/EmployeePhotos/Employee5.jpg
Benny,Dobson,,Marketing Specialist,BennyDobson@contoso.com,168-555-0183,Marketing,/images/contoso/EmployeePhotos/Employee6.jpg
Aiden,Taylor,,Marketing Consultant,AidenTaylor@contoso.com,913-555-0172,Marketing,/images/contoso/EmployeePhotos/Employee7.jpg
Erick,Benfield,M.,Marketing Director,ErickBenfield@contoso.com,913-555-0172,Marketing,/images/contoso/EmployeePhotos/Employee8.jpg
Thea,John,,Payroll Assistant,TheaJohn@contoso.com,903-555-0145,Finance,/images/contoso/EmployeePhotos/Employee9.jpg
Stella,Grant,,Financial Advisor Assistant,StellaGrant@contoso.com,145-555-0130,Finance,/images/contoso/EmployeePhotos/Employee10.jpg
Aeris,Heaton,,Product Manager,AerisHeaton@contoso.com,849-555-0139,Engineering,/images/contoso/EmployeePhotos/Employee11.jpg
Nick,Savage,,Executive Compensation Manager,NickSavage@contoso.com,206-555-0180,Human Resources,/images/contoso/EmployeePhotos/Employee12.jpg
Rufus,Wilkinson,,Senior Software Engineer,RufusWilkinson@contoso.com,122-555-0189,Engineering,/images/contoso/EmployeePhotos/Employee13.jpg
Marigold,Cartwright,,Sales Store Manager,MarigoldCartwright@contoso.com,819-555-0175,Engineering,/images/contoso/EmployeePhotos/Employee14.jpg
Wade,Dyson,,Sales Store Manager,WadeDyson@contoso.com,424-555-0189,Production,/images/contoso/EmployeePhotos/Employee15.jpg
Henry,Chappell,,Solution Architect,HenryChappell@contoso.com,508-555-0165,Engineering,/images/contoso/EmployeePhotos/Employee16.jpg
Tom,Bell,,Credit Analyst,TomBell@contoso.com,984-555-0185,Finance,/images/contoso/EmployeePhotos/Employee17.jpg
Marigold,Oliver,,Group Manager,MarigoldOliver@contoso.com,632-555-0129,Human Resources,/images/contoso/EmployeePhotos/Employee18.jpg
Kamila,Knott,,Budget Analyst,KamilaKnott@contoso.com,328-555-0150,Finance,/images/contoso/EmployeePhotos/Employee19.jpg
